nome,data,hora,potencia,
Pow-AC1Triunfo,04/23/2021,22:00:00,0,
Pow-AC1Triunfo,04/23/2021,23:00:00,0,
Pow-AC1Triunfo,04/24/2021,00:00:00,0,
Pow-AC1Triunfo,04/24/2021,01:00:00,0,
Pow-AC1Triunfo,04/24/2021,02:00:00,0,
Pow-AC1Triunfo,04/24/2021,03:00:00,0,
Pow-AC1Triunfo,04/24/2021,04:00:00,0,
Pow-AC1Triunfo,04/24/2021,05:00:00,0,
Pow-AC1Triunfo,04/24/2021,06:00:00,0,
Pow-AC1Triunfo,04/24/2021,07:00:00,0,
Pow-AC1Triunfo,04/24/2021,08:00:00,0,
Pow-AC1Triunfo,04/24/2021,09:00:00,0,
Pow-AC1Triunfo,04/24/2021,10:00:00,0,
Pow-AC1Triunfo,04/24/2021,11:00:00,0,
Pow-AC1Triunfo,04/24/2021,12:00:00,0,
Pow-AC1Triunfo,04/24/2021,13:00:00,0,
Pow-AC1Triunfo,04/24/2021,14:00:00,0,
Pow-AC1Triunfo,04/24/2021,15:00:00,0,
Pow-AC1Triunfo,04/24/2021,16:00:00,0,
Pow-AC1Triunfo,04/24/2021,17:00:00,0,
Pow-AC1Triunfo,04/24/2021,18:00:00,0,
Pow-AC1Triunfo,04/24/2021,19:00:00,0,
Pow-AC1Triunfo,04/24/2021,20:00:00,0,
Pow-AC1Triunfo,04/24/2021,21:00:00,0,
Pow-AC1Triunfo,04/24/2021,22:00:00,0,
Pow-AC1Triunfo,04/24/2021,23:00:00,0,
Pow-AC1Triunfo,04/25/2021,00:00:00,0,
Pow-AC1Triunfo,04/25/2021,01:00:00,0,
Pow-AC1Triunfo,04/25/2021,02:00:00,0,
Pow-AC1Triunfo,04/25/2021,03:00:00,0,
Pow-AC1Triunfo,04/25/2021,04:00:00,0,
Pow-AC1Triunfo,04/25/2021,05:00:00,0,
Pow-AC1Triunfo,04/25/2021,06:00:00,0,
Pow-AC1Triunfo,04/25/2021,07:00:00,0,
Pow-AC1Triunfo,04/25/2021,08:00:00,0,
Pow-AC1Triunfo,04/25/2021,09:00:00,0,
Pow-AC1Triunfo,04/25/2021,10:00:00,0,
Pow-AC1Triunfo,04/25/2021,11:00:00,0,
Pow-AC1Triunfo,04/25/2021,12:00:00,0,
Pow-AC1Triunfo,04/25/2021,13:00:00,0,
Pow-AC1Triunfo,04/25/2021,14:00:00,0,
Pow-AC1Triunfo,04/25/2021,15:00:00,0,
Pow-AC1Triunfo,04/25/2021,16:00:00,0,
