data,hora,sala,temperatura,hora_simples
14/10/2021,09:00:00,TH-Caruru,28.5,09
14/10/2021,10:00:00,TH-Suporte,24.8,10
14/10/2021,10:00:00,TH-Caruru,28.5,10
14/10/2021,10:00:00,TH teste,27.8,10
14/10/2021,11:00:00,TH-Caruru,28.5,11
14/10/2021,11:00:00,TH-Suporte,23.6,11
14/10/2021,11:00:01,TH teste,27.8,11
14/10/2021,12:00:02,TH-Suporte,23.1,12
14/10/2021,12:00:02,TH teste,27.8,12
14/10/2021,12:00:02,TH-Caruru,28.5,12
14/10/2021,13:00:00,TH teste,27.8,13
14/10/2021,13:00:00,TH-Caruru,28.5,13
14/10/2021,13:00:01,TH-Suporte,23.9,13
14/10/2021,14:00:00,TH teste,27.8,14
14/10/2021,14:00:01,TH-Caruru,28.6,14
14/10/2021,14:00:01,TH-Suporte,22.9,14
14/10/2021,15:00:00,TH-Suporte,23.0,15
14/10/2021,15:00:00,TH teste,27.8,15
14/10/2021,15:00:01,TH-Caruru,28.6,15
14/10/2021,16:00:00,TH-Caruru,28.6,16
14/10/2021,16:00:00,TH teste,27.8,16
14/10/2021,16:00:00,TH-Suporte,23.6,16
14/10/2021,17:00:00,TH teste,27.8,17
14/10/2021,17:00:00,TH-Suporte,24.2,17
14/10/2021,17:00:01,TH-Caruru,28.6,17
14/10/2021,18:00:00,TH teste,27.8,18
14/10/2021,18:00:00,TH-Caruru,28.6,18
14/10/2021,18:00:00,TH-Suporte,24.8,18
14/10/2021,19:00:00,TH-Caruru,28.6,19
14/10/2021,19:00:00,TH-Suporte,24.8,19
14/10/2021,19:00:00,TH teste,27.8,19
14/10/2021,20:00:00,TH-Suporte,24.8,20
14/10/2021,20:00:00,TH-Caruru,28.6,20
14/10/2021,20:00:00,TH teste,27.8,20
15/10/2021,07:00:00,TH-Suporte,25.0,07
15/10/2021,07:00:00,TH teste,27.8,07
15/10/2021,07:00:00,TH-Caruru,27.0,07
15/10/2021,08:00:01,TH-Caruru,26.1,08
15/10/2021,08:00:01,TH-Suporte,25.6,08
15/10/2021,08:00:01,TH teste,27.8,08
15/10/2021,09:00:00,TH-Suporte,26.7,09
15/10/2021,09:00:00,TH-Caruru,26.7,09
15/10/2021,09:00:00,TH teste,27.8,09
15/10/2021,10:00:01,TH-Suporte,24.5,10
15/10/2021,10:00:01,TH teste,27.8,10
15/10/2021,10:00:01,TH-Caruru,26.7,10
15/10/2021,11:00:00,TH-Suporte,22.7,11
15/10/2021,11:00:00,TH teste,27.8,11
15/10/2021,11:00:00,TH-Caruru,27.0,11
15/10/2021,12:00:02,TH teste,27.8,12
15/10/2021,12:00:02,TH-Suporte,22.7,12
15/10/2021,12:00:03,TH-Caruru,27.0,12
15/10/2021,13:00:00,TH teste,27.8,13
15/10/2021,13:00:00,TH-Caruru,27.6,13
15/10/2021,13:00:01,TH-Suporte,24.1,13
15/10/2021,14:00:00,TH teste,27.8,14
15/10/2021,14:00:00,TH-Suporte,25.5,14
15/10/2021,14:00:01,TH-Caruru,27.8,14
15/10/2021,15:00:00,TH-Suporte,26.1,15
15/10/2021,15:00:01,TH teste,27.8,15
15/10/2021,15:00:01,TH-Caruru,27.8,15
15/10/2021,16:00:01,TH-Suporte,24.1,16
15/10/2021,16:00:01,TH-Caruru,27.8,16
15/10/2021,16:00:01,TH teste,27.8,16
15/10/2021,17:00:00,TH teste,27.8,17
15/10/2021,17:00:00,TH-Caruru,27.8,17
15/10/2021,17:00:00,TH-Suporte,23.5,17
15/10/2021,18:00:00,TH teste,27.8,18
15/10/2021,18:00:00,TH-Suporte,25.7,18
15/10/2021,18:00:00,TH-Caruru,28.3,18
15/10/2021,19:00:00,TH-Suporte,26.3,19
15/10/2021,19:00:01,TH teste,27.8,19
15/10/2021,19:00:01,TH-Caruru,28.3,19
15/10/2021,20:00:00,TH-Caruru,28.3,20
15/10/2021,20:00:00,TH-Suporte,26.9,20
15/10/2021,20:00:01,TH teste,27.8,20
